ID,Title,Highlights Supported?,Fully Optimized?,Steam Url,Publisher,Genre,Status
100223111,Shadowrun Returns,N,N,https://store.steampowered.com/app/234650,Harebrained Schemes,"Adventure,Indie,Role Playing,Strategy,",1
100233511,Shenmue I & II,N,N,https://store.steampowered.com/app/758330,SEGA,"Action,Adventure,Role Playing,",1
100358411,Shenmue III,N,N,,Deep Silver,"Action,Adventure,",1
100007011,Sid Meier’s Civilization® VI,N,Y,https://store.steampowered.com/app/289070,2K Games,"Strategy,",1
100030311,Sid Meier's Civilization® V,N,Y,https://store.steampowered.com/app/8930,2K Games,"Strategy,",1
100368711,Silver Chains,N,N,https://store.steampowered.com/app/975470,Headup,"Adventure,Indie,",1
100409411,Skybolt Zack,N,N,https://store.steampowered.com/app/909670,Green Man Gaming,"Action,Adventure,Arcade,IndiePlatformer,",1
100188611,Slay the Spire,N,N,https://store.steampowered.com/app/646570,Mega Crit Games,"Indie,Strategy,",1
100039711,SMITE®,N,N,https://store.steampowered.com/app/386360,Hi-Rez Studios,"Action,Free To Play,Multiplayer Online Battle Arena,",1
18114211,Sniper Elite 3,N,N,https://store.steampowered.com/app/238090,Rebellion,"Action,Adventure,",1
18545611,Sniper Elite 4,N,N,https://store.steampowered.com/app/312660,Rebellion,"Action,Adventure,",1
100348411,Sniper Elite V2 Remastered,N,N,https://store.steampowered.com/app/728740,Rebellion,"Action,First-Person Shooter,",1
100244411,SOMA,N,N,https://store.steampowered.com/app/282140,Frictional Games,"Action,Adventure,Indie,",1
100143111,Sonic Forces,N,N,https://store.steampowered.com/app/637100,SEGA,"Action,Adventure,",1
100155111,Sonic Mania,N,N,https://store.steampowered.com/app/584400,SEGA,"Action,Adventure,Family,Arcade,",1
100205111,SOULCALIBUR™ VI,N,N,https://store.steampowered.com/app/544750,Bandai Namco Entertainment,"Action,Arcade,",1
100196911,SoulWorker,N,N,https://store.steampowered.com/app/630100,Gameforge 4D GmbH,"Free To Play,Role Playing,Massively Multiplayer Online,Action,",1
100057811,Space Engineers,N,Y,https://store.steampowered.com/app/244850,Keen Software House,"Action,Indie,Simulation,Strategy,",1
100230711,Space Hulk: Tactics,N,N,https://store.steampowered.com/app/492230,Focus Home Interactive,"Strategy,",1
100063311,Spacelords,Y,N,https://store.steampowered.com/app/436180,MercurySteam,"Adventure,Action,Free To Play,Indie,",1
100068011,SpellForce 3,N,N,https://store.steampowered.com/app/311290,THQ Nordic,"Role Playing,Strategy,",1
100354111,SpellForce 3: Soul Harvest,N,N,https://store.steampowered.com/app/817540,THQ Nordic,"Role Playing,Strategy,",1
100137911,Spintires: MudRunner,N,N,https://store.steampowered.com/app/675010,Focus Home Interactive,"Simulation,Racing,",1
100348011,Splitgate: Arena Warfare,N,N,https://store.steampowered.com/app/677620,1047 Games,"First-Person Shooter,Free To Play,",1
100209111,SpyParty,N,N,https://store.steampowered.com/app/329070,Chris Hecker,"Action,Indie,Simulation,Strategy,",1
100365711,Spyro™ Reignited Trilogy,N,N,https://store.steampowered.com/app/996580,Activision,"Action,Adventure,First-Person Shooter,Platformer,",1
100045311,Squad,N,N,https://store.steampowered.com/app/393380,Offworld Industries,"Action,Indie,Strategy,",1
100199311,Star Control®: Origins,N,N,https://store.steampowered.com/app/271260,Stardock Entertainment,"Action,Adventure,Casual,IndieRole Playing,Simulation,Strategy,",1
100154311,"Star Wars: Battlefront 2 (Classic, 2005)",N,N,https://store.steampowered.com/app/6060,Disney Interactive,"Action,",1
100140811,STAR WARS™ - Knights of the Old Republic™,N,N,https://store.steampowered.com/app/32370,"Disney Interactive, Lucasfilm","Adventure,Role Playing,",1
100040111,Starbound,N,N,https://store.steampowered.com/app/211820,Chucklefish,"Action,Adventure,Indie,Role Playing,",1
17945511,StarCraft II®,N,Y,,Blizzard Entertainment,"Strategy,",1
100062811,StarCraft® Remastered,N,N,,Activision Blizzard,"Strategy,Multiplayer Online Battle Arena,",1
18114411,Stardew Valley,N,Y,https://store.steampowered.com/app/413150,Chucklefish,"Indie,Role Playing,Simulation,",1
100209311,Startup Company,N,N,https://store.steampowered.com/app/606800,Hovgaard Games,"Casual,Indie,Simulation,Strategy,",1
100021711,Steam®,N,Y,https://store.steampowered.com/app/,Valve Corporation,",",1
18278011,Stellaris,N,N,https://store.steampowered.com/app/281990,Paradox Interactive,"Strategy,",1
100482711,Still There,N,N,https://store.steampowered.com/app/1063490,Iceberg Interactive,"Adventure,Indie,Puzzle,",1
100201411,Strange Brigade,N,N,https://store.steampowered.com/app/312670,Rebellion,"Action,Adventure,",1
18315311,Subnautica,N,N,https://store.steampowered.com/app/264710,Unknown Worlds,"Adventure,",1
100318611,Subnautica: Below Zero,N,N,https://store.steampowered.com/app/848450,Unknown Worlds Entertainment,"Adventure,Indie,",1
100220211,Sundered,N,N,https://store.steampowered.com/app/535480,Thunder Lotus Games,"Action,Adventure,Indie,Platformer,",1
100263111,Sunset Overdrive,N,N,https://store.steampowered.com/app/847370,Microsoft Studios,"Action,First-Person Shooter,Adventure,",1
100072111,Super Mega Baseball 2,N,N,https://store.steampowered.com/app/414870,Metalhead Software Inc.,"Indie,Family,Sports,Simulation,",1
100183711,Surviving Mars,N,N,https://store.steampowered.com/app/464920,Paradox Interactive,"Simulation,Strategy,",1
100184311,Switchblade,Y,N,https://store.steampowered.com/app/585630,Lucid Publishing Ltd,"Indie,Action,Multiplayer Online Battle Arena,",1
100057911,Tabletop Simulator,N,N,https://store.steampowered.com/app/286160,Berserk Games,"Casual,Family,Indie,Role PlayingStrategy,",1
100069811,Tacoma,N,Y,https://store.steampowered.com/app/343860,Fullbright,"Adventure,Indie,",1
18114511,Team Fortress 2,N,Y,https://store.steampowered.com/app/440,Valve,"Action,Free To Play,",1
100332711,Team Sonic Racing™,N,N,https://store.steampowered.com/app/785260,SEGA,"Family,Racing,",1
18319211,TEKKEN 7,Y,Y,https://store.steampowered.com/app/389730,BANDAI NAMCO Entertainment,"Action,Arcade,",1
17945611,TERA,N,N,https://store.steampowered.com/app/323370,En Masse Entertainment,"Action,Adventure,Free To Play,Massively Multiplayer OnlineRole Playing,",1
100483111,Terminator: Resistance,N,N,https://store.steampowered.com/app/954740,Reef Entertainment,"Action,Adventure,Role Playing,",1
17949811,Terraria,N,Y,https://store.steampowered.com/app/105600,Re-Logic,"Action,Adventure,Indie,Role Playing,",1
100220611,The Bard's Tale IV,N,N,https://store.steampowered.com/app/566090,inXile Entertainment,"Role Playing,",1
100393811,The Bradwell Conspiracy,N,N,https://store.steampowered.com/app/421790,Bossa Studios,"Adventure,Casual,Indie,",1
100095311,The Crew® 2,N,Y,,Ubisoft,"Action,Racing,Massively Multiplayer Online,",1
100154211,The Crew® 2,N,Y,https://store.steampowered.com/app/646910,Ubisoft,"Action,Racing,Massively Multiplayer Online,",1
17945911,The Crew™,N,N,,Ubisoft,"Action,Massively Multiplayer Online,Racing,",1
100154111,The Crew™,N,N,https://store.steampowered.com/app/241560,Ubisoft,"Action,Massively Multiplayer Online,Racing,",1
100081211,The D.R.G. Initiative,Y,N,https://store.steampowered.com/app/613580,Slingshot Cartel,"Action,Indie,",1
100208311,The Darkness II,N,N,https://store.steampowered.com/app/67370,2K Games,"Action,Adventure,Role Playing,",1
